2026-06-19 23:34:10,405 | DEBUG | app.services.application_service | Company Name: Google
2026-06-19 23:42:28,660 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001225A061730>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 42, 28, 649262, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': 'Dream job', 'company_id': 1, 'id': 1, 'role': 'Software Developer', 'location': 'Remote', 'job_url': 'https://example.com/job', 'updated_at': datetime.datetime(2026, 6, 19, 21, 42, 28, 649262, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 1, 'company': <app.models.company.Company object at 0x000001225981A7D0>}
2026-06-19 23:42:28,660 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000001225981A7D0>
2026-06-19 23:42:28,660 | DEBUG | app.api.applications | Route company_name: Google
2026-06-19 23:42:29,372 | DEBUG | app.services.application_service | Company Name: Microsoft
2026-06-19 23:42:29,372 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:42:29,388 | DEBUG | app.services.application_service | company CREATED: ID is 2, name=Microsoft
2026-06-19 23:42:29,388 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Data Scientist', 'status': <ApplicationStatus.OFFER: 'offer'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 2, 'user_id': 2}
2026-06-19 23:42:29,388 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x0000012259BC3B10>
2026-06-19 23:42:29,388 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:42:29,395 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x0000012259BC3B10>
2026-06-19 23:42:29,397 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x0000012259BE9790>
2026-06-19 23:42:29,397 | DEBUG | app.repos.application_repository | company name after refresh: Microsoft
2026-06-19 23:42:29,397 | DEBUG | app.services.application_service | Application company ID: 2
2026-06-19 23:42:29,397 | DEBUG | app.services.application_service | Application name attr: Microsoft
2026-06-19 23:42:29,397 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x0000012259BC3B10>
2026-06-19 23:42:29,397 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001225A061DF0>, 'status': <ApplicationStatus.OFFER: 'offer'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 42, 29, 390891, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 2, 'id': 2, 'role': 'Data Scientist', 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 42, 29, 390891, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 2, 'company': <app.models.company.Company object at 0x0000012259BE9790>}
2026-06-19 23:42:29,397 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x0000012259BE9790>
2026-06-19 23:42:29,400 | DEBUG | app.api.applications | Route company_name: Microsoft
2026-06-19 23:42:30,513 | DEBUG | app.services.application_service | Company Name: Amazon AWS
2026-06-19 23:42:30,517 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:42:30,523 | DEBUG | app.services.application_service | company CREATED: ID is 3, name=Amazon AWS
2026-06-19 23:42:30,523 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Cloud Engineer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 3, 'user_id': 3}
2026-06-19 23:42:30,523 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000001225A0B4850>
2026-06-19 23:42:30,523 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:42:30,531 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000001225A0B4850>
2026-06-19 23:42:30,533 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000001225A0AA910>
2026-06-19 23:42:30,535 | DEBUG | app.repos.application_repository | company name after refresh: Amazon AWS
2026-06-19 23:42:30,535 | DEBUG | app.services.application_service | Application company ID: 3
2026-06-19 23:42:30,535 | DEBUG | app.services.application_service | Application name attr: Amazon AWS
2026-06-19 23:42:30,535 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000001225A0B4850>
2026-06-19 23:42:30,535 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001225A01F530>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 42, 30, 525178, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 3, 'id': 3, 'role': 'Cloud Engineer', 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 42, 30, 525178, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 3, 'company': <app.models.company.Company object at 0x000001225A0AA910>}
2026-06-19 23:42:30,535 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000001225A0AA910>
2026-06-19 23:42:30,535 | DEBUG | app.api.applications | Route company_name: Amazon AWS
2026-06-19 23:42:31,396 | DEBUG | app.services.application_service | Company Name: Oracle
2026-06-19 23:42:31,396 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:42:31,396 | DEBUG | app.services.application_service | company CREATED: ID is 4, name=Oracle
2026-06-19 23:42:31,396 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Database Manager', 'status': <ApplicationStatus.WISHLIST: 'wishlist'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 4, 'user_id': 4}
2026-06-19 23:42:31,396 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000001225A0B7650>
2026-06-19 23:42:31,396 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:42:31,408 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000001225A0B7650>
2026-06-19 23:42:31,408 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x0000012259BCD410>
2026-06-19 23:42:31,408 | DEBUG | app.repos.application_repository | company name after refresh: Oracle
2026-06-19 23:42:31,408 | DEBUG | app.services.application_service | Application company ID: 4
2026-06-19 23:42:31,408 | DEBUG | app.services.application_service | Application name attr: Oracle
2026-06-19 23:42:31,408 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000001225A0B7650>
2026-06-19 23:42:31,408 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001225A063890>, 'status': <ApplicationStatus.WISHLIST: 'wishlist'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 42, 31, 408760, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 4, 'id': 4, 'role': 'Database Manager', 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 42, 31, 408760, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 4, 'company': <app.models.company.Company object at 0x0000012259BCD410>}
2026-06-19 23:42:31,408 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x0000012259BCD410>
2026-06-19 23:42:31,408 | DEBUG | app.api.applications | Route company_name: Oracle
2026-06-19 23:42:32,160 | DEBUG | app.services.application_service | Company Name: Codecademy
2026-06-19 23:42:32,161 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:42:32,161 | DEBUG | app.services.application_service | company CREATED: ID is 5, name=Codecademy
2026-06-19 23:42:32,161 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Full-Stack Engineer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 5, 'user_id': 5}
2026-06-19 23:42:32,161 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x0000012259C4B290>
2026-06-19 23:42:32,161 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:42:32,161 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x0000012259C4B290>
2026-06-19 23:42:32,174 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000001225A041650>
2026-06-19 23:42:32,174 | DEBUG | app.repos.application_repository | company name after refresh: Codecademy
2026-06-19 23:42:32,174 | DEBUG | app.services.application_service | Application company ID: 5
2026-06-19 23:42:32,174 | DEBUG | app.services.application_service | Application name attr: Codecademy
2026-06-19 23:42:32,174 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x0000012259C4B290>
2026-06-19 23:42:32,174 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001225A0637D0>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 42, 32, 161152, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 5, 'id': 5, 'role': 'Full-Stack Engineer', 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 42, 32, 161152, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 5, 'company': <app.models.company.Company object at 0x000001225A041650>}
2026-06-19 23:42:32,174 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000001225A041650>
2026-06-19 23:42:32,174 | DEBUG | app.api.applications | Route company_name: Codecademy
2026-06-19 23:43:12,443 | DEBUG | app.services.application_service | Company Name: Microsoft
2026-06-19 23:43:12,455 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:12,461 | DEBUG | app.services.application_service | company CREATED: ID is 1, name=Microsoft
2026-06-19 23:43:12,461 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Software Engineer', 'status': <ApplicationStatus.REJECTED: 'rejected'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 1, 'user_id': 1}
2026-06-19 23:43:12,461 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473F27FD0>
2026-06-19 23:43:12,461 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:43:12,475 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002A473F27FD0>
2026-06-19 23:43:12,483 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002A473F0AE10>
2026-06-19 23:43:12,483 | DEBUG | app.repos.application_repository | company name after refresh: Microsoft
2026-06-19 23:43:12,483 | DEBUG | app.services.application_service | Application company ID: 1
2026-06-19 23:43:12,483 | DEBUG | app.services.application_service | Application name attr: Microsoft
2026-06-19 23:43:12,483 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002A473F27FD0>
2026-06-19 23:43:12,483 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A473EFBB90>, 'status': <ApplicationStatus.REJECTED: 'rejected'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 43, 12, 461467, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 1, 'role': 'Software Engineer', 'id': 1, 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 43, 12, 461467, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 1, 'company': <app.models.company.Company object at 0x000002A473F0AE10>}
2026-06-19 23:43:12,485 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002A473F0AE10>
2026-06-19 23:43:12,485 | DEBUG | app.api.applications | Route company_name: Microsoft
2026-06-19 23:43:12,499 | DEBUG | app.services.application_service | Company Name: Amazon
2026-06-19 23:43:12,499 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:12,504 | DEBUG | app.services.application_service | company CREATED: ID is 2, name=Amazon
2026-06-19 23:43:12,504 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Cloud Developer', 'status': <ApplicationStatus.INTERVIEW: 'interview'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 2, 'user_id': 1}
2026-06-19 23:43:12,504 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473A4CE10>
2026-06-19 23:43:12,504 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:43:12,504 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002A473A4CE10>
2026-06-19 23:43:12,515 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002A473A6FB10>
2026-06-19 23:43:12,515 | DEBUG | app.repos.application_repository | company name after refresh: Amazon
2026-06-19 23:43:12,515 | DEBUG | app.services.application_service | Application company ID: 2
2026-06-19 23:43:12,515 | DEBUG | app.services.application_service | Application name attr: Amazon
2026-06-19 23:43:12,515 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002A473A4CE10>
2026-06-19 23:43:12,515 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A473EFB1D0>, 'status': <ApplicationStatus.INTERVIEW: 'interview'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 43, 12, 504646, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 2, 'role': 'Cloud Developer', 'id': 2, 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 43, 12, 504646, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 1, 'company': <app.models.company.Company object at 0x000002A473A6FB10>}
2026-06-19 23:43:12,515 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002A473A6FB10>
2026-06-19 23:43:12,515 | DEBUG | app.api.applications | Route company_name: Amazon
2026-06-19 23:43:13,830 | DEBUG | app.services.application_service | Company Name: Company 0
2026-06-19 23:43:13,830 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:13,842 | DEBUG | app.services.application_service | company CREATED: ID is 3, name=Company 0
2026-06-19 23:43:13,842 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 3, 'user_id': 2}
2026-06-19 23:43:13,842 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473AF5BD0>
2026-06-19 23:43:13,842 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:43:13,842 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002A473AF5BD0>
2026-06-19 23:43:13,842 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002A473F08090>
2026-06-19 23:43:13,842 | DEBUG | app.repos.application_repository | company name after refresh: Company 0
2026-06-19 23:43:13,842 | DEBUG | app.services.application_service | Application company ID: 3
2026-06-19 23:43:13,842 | DEBUG | app.services.application_service | Application name attr: Company 0
2026-06-19 23:43:13,842 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002A473AF5BD0>
2026-06-19 23:43:13,842 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A473A67F50>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 842856, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 3, 'role': 'Developer', 'id': 3, 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 842856, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 2, 'company': <app.models.company.Company object at 0x000002A473F08090>}
2026-06-19 23:43:13,842 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002A473F08090>
2026-06-19 23:43:13,842 | DEBUG | app.api.applications | Route company_name: Company 0
2026-06-19 23:43:13,865 | DEBUG | app.services.application_service | Company Name: Company 1
2026-06-19 23:43:13,869 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:13,870 | DEBUG | app.services.application_service | company CREATED: ID is 4, name=Company 1
2026-06-19 23:43:13,870 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 4, 'user_id': 2}
2026-06-19 23:43:13,870 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473F27650>
2026-06-19 23:43:13,870 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:43:13,870 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002A473F27650>
2026-06-19 23:43:13,870 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002A4739DA410>
2026-06-19 23:43:13,870 | DEBUG | app.repos.application_repository | company name after refresh: Company 1
2026-06-19 23:43:13,870 | DEBUG | app.services.application_service | Application company ID: 4
2026-06-19 23:43:13,870 | DEBUG | app.services.application_service | Application name attr: Company 1
2026-06-19 23:43:13,870 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002A473F27650>
2026-06-19 23:43:13,870 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A473F7A570>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 870795, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 4, 'role': 'Developer', 'id': 4, 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 870795, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 2, 'company': <app.models.company.Company object at 0x000002A4739DA410>}
2026-06-19 23:43:13,870 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002A4739DA410>
2026-06-19 23:43:13,870 | DEBUG | app.api.applications | Route company_name: Company 1
2026-06-19 23:43:13,896 | DEBUG | app.services.application_service | Company Name: Company 2
2026-06-19 23:43:13,900 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:13,904 | DEBUG | app.services.application_service | company CREATED: ID is 5, name=Company 2
2026-06-19 23:43:13,904 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 5, 'user_id': 2}
2026-06-19 23:43:13,904 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473F82710>
2026-06-19 23:43:13,904 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:43:13,911 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002A473F82710>
2026-06-19 23:43:13,911 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002A473FA1910>
2026-06-19 23:43:13,911 | DEBUG | app.repos.application_repository | company name after refresh: Company 2
2026-06-19 23:43:13,911 | DEBUG | app.services.application_service | Application company ID: 5
2026-06-19 23:43:13,911 | DEBUG | app.services.application_service | Application name attr: Company 2
2026-06-19 23:43:13,911 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002A473F82710>
2026-06-19 23:43:13,911 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A473F7A6F0>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 904290, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': None, 'company_id': 5, 'role': 'Developer', 'id': 5, 'location': None, 'job_url': None, 'updated_at': datetime.datetime(2026, 6, 19, 21, 43, 13, 904290, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 2, 'company': <app.models.company.Company object at 0x000002A473FA1910>}
2026-06-19 23:43:13,911 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002A473FA1910>
2026-06-19 23:43:13,911 | DEBUG | app.api.applications | Route company_name: Company 2
2026-06-19 23:43:13,933 | DEBUG | app.services.application_service | Company Name: Company 3
2026-06-19 23:43:13,935 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:43:13,937 | DEBUG | app.services.application_service | company CREATED: ID is 6, name=Company 3
2026-06-19 23:43:13,937 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': None, 'job_url': None, 'notes': None, 'company_id': 6, 'user_id': 2}
2026-06-19 23:43:13,937 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002A473FA3E50>
2026-06-19 23:43:13,937 | DEBUG | app.repos.application_repository | has company_name property: False
